"Плей-лист на СУББОТА, 16.05.2015 г. Перец Европа",,,,,,,,,,
"Источник, логотип",Время выхода в эфир,Название передачи,Хронометраж,Таймкод начальный,Таймкод конечный,Номер эфирной кассеты,GPO,Аудит,Тип рекламы,Б/С
Лого ДА,08:53:30:09,Вольтарен Эмульгель  Танец NR14VT1037,00:00:25:00,00:00:00:00,00:00:25:00,484116,,,КР,
Лого ДА,08:53:55:09,Nivea Men  Greetings,00:00:05:00,00:00:00:00,00:00:05:00,497306,,,КР,
Лого ДА,08:54:00:09,МТС Бит Имидж  19.03.2015 титр1/00:00:06:00/00:00:01:00/PCDA0415.tga,00:00:45:00,00:00:00:00,00:00:45:00,495318,"GR016
00:00:06:00/00:00:01:00",,КР,
Лого ДА,08:54:45:09,Релиф  Оркестр v3,00:00:10:00,00:00:00:00,00:00:10:00,486624,,,КР,
Лого ДА,08:54:55:09,ID_PERETZ_NEW_CET_ZAKR_ENF,00:00:01:00,00:00:00:00,00:00:01:00,PGR_0013_ENF,_ENF,,,
Лого ДА,08:54:56:09,КитайСервиз.16мая_Сег17_15,00:00:15:00,00:00:00:00,00:00:15:00,VAN002821,,,,
Лого ДА,08:55:11:09,Участок.18мая.4сер_Пн20_30 Нов,00:00:30:00,00:00:00:00,00:00:30:00,VAN002788,,,,
Лого ДА,08:55:41:09,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:04:50:00/00:00:08:00/KITS_S17.tga,00:07:47:06,00:07:00:12,00:14:47:18,PR_121038880,"GR017
00:00:00:00/00:00:08:00
00:04:50:00/00:00:08:00",0+,,"00:00:08:00/00:04:42:00
00:04:58:00/00:02:49:06"
Лого ДА,09:03:28:15,АнтиБум19+Бум2.20.3+Бум23.16мая_Сег_45,00:00:45:00,00:00:00:00,00:00:45:00,VAN002874,,,,
Лого ДА,09:04:13:15,ID_PERETZ_NEW_STONE_5_REG_STR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0019_STR,_STR,,,
Лого ДА,09:04:18:15,2777_Clear View_off price FN  Спонсорство Перец 2015,00:01:00:00,00:00:00:00,00:01:00:00,502363,,,СЗО,
Лого ДА,09:05:18:15,ID_PERETZ_NEW_5_ENR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0030_ENR,_ENR,,,
Лого ДА,09:05:23:15,ЧтоБылоДальше.с18мая_ПнЧт19.30_15,00:00:15:00,00:00:00:00,00:00:15:00,VAN002910,,,,
Лого ДА,09:05:38:15,Тюряга(Взаперти).22мая_Пт19.30_30,00:00:30:00,00:00:00:00,00:00:30:00,VAN002957,,,,
Лого ДА,09:06:08:15,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:04:34:00/00:00:08:00/GS_S15.tga,00:10:01:14,00:14:47:21,00:24:49:10,PR_121038880,"GR018
00:00:00:00/00:00:08:00
00:04:34:00/00:00:08:00",0+,,"00:00:08:00/00:04:26:00
00:04:42:00/00:05:19:14"
Лого ДА,09:16:10:04,ГолубСтрела.16мая_Сег15_30,00:00:30:00,00:00:00:00,00:00:30:00,VAN002809,,,,
Лого ДА,09:16:40:04,ID_PERETZ_NEW_METAL_REKL_5_STF,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0051_STF,_STF,,,
Лого ДА,09:16:45:04,Nivea Men  Sensitive Shaving,00:00:20:00,00:00:00:00,00:00:20:00,496210,,,КР,
Лого ДА,09:17:05:04,Nivea Men  Greetings,00:00:05:00,00:00:00:00,00:00:05:00,497306,,,КР,
Лого ДА,09:17:10:04,Domofond  05.15 Домофонд Планшет,00:00:10:00,00:00:00:00,00:00:10:00,499605,,,КР,
Лого ДА,09:17:20:04,Coca-Cola  Бобик 2,00:00:45:00,00:00:00:00,00:00:45:00,500419,,,КР,
Лого ДА,09:18:05:04,Nivea Face Care  Double Effect титр1/00:00:06:00/00:00:01:00/PCDA0415.tga,00:00:15:00,00:00:00:00,00:00:15:00,500136,"GR019
00:00:06:00/00:00:01:00",,КР,
Лого ДА,09:18:20:04,Экзодерил  1 Космонавт,00:00:20:00,00:00:00:00,00:00:20:00,498476,,,КР,
Лого ДА,09:18:40:04,Deo Women  Powder Touch 2015,00:00:20:00,00:00:00:00,00:00:20:00,494017,,,КР,
Лого ДА,09:19:00:04,ID_PERETZ_NEW_CET_ZAKR_ENF,00:00:01:00,00:00:00:00,00:00:01:00,PGR_0013_ENF,_ENF,,,
Лого ДА,09:19:01:04,КитайСервиз.16мая_Сег17_15,00:00:15:00,00:00:00:00,00:00:15:00,VAN002821,,,,
Лого ДА,09:19:16:04,Участок.18мая.4сер_Пн20_30 Нов,00:00:30:00,00:00:00:00,00:00:30:00,VAN002788,,,,
Лого ДА,09:19:46:04,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:03:10:00/00:00:08:00/KITS_S17.tga,00:08:05:11,00:24:50:09,00:32:55:20,PR_121038880,"GR020
00:00:00:00/00:00:08:00
00:03:10:00/00:00:08:00",0+,,"00:00:08:00/00:03:02:00
00:03:18:00/00:04:47:11"
Лого ДА,09:27:51:15,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр4/00:02:35:00/00:00:08:00/ABY_SE19.tga,00:07:40:07,00:32:55:22,00:40:36:04,PR_121038880,"GR021
00:02:35:00/00:00:08:00",0+,,"00:00:00:00/00:02:35:00
00:02:43:00/00:04:57:07"
Лого ДА,09:35:31:22,АнтиБум19+Бум2.20.3+Бум23.16мая_Сег_45,00:00:45:00,00:00:00:00,00:00:45:00,VAN002874,,,,
Лого ДА,09:36:16:22,ID_PERETZ_NEW_STONE_5_REG_STR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0019_STR,_STR,,,
Лого ДА,09:36:21:22,800_Vodonagrevatel Del NEW_off price FN  Спонсорство Перец 2015,00:01:15:00,00:00:00:00,00:01:15:00,502359,,,СЗО,
Лого ДА,09:37:36:22,ID_PERETZ_NEW_5_ENR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0030_ENR,_ENR,,,
Лого ДА,09:37:41:22,СвБундока-2.22мая_Пт21.45_45,00:00:45:00,00:00:00:00,00:00:45:00,VAN002962,,,,
Лого ДА,09:38:26:22,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:02:54:00/00:00:08:00/GS_S15.tga,00:08:10:06,00:40:36:07,00:48:46:13,PR_121038880,"GR022
00:00:00:00/00:00:08:00
00:02:54:00/00:00:08:00",0+,,"00:00:08:00/00:02:46:00
00:03:02:00/00:05:08:06"
Лого ДА,09:46:37:03,КитайСервиз.16мая_Сег17_30,00:00:30:00,00:00:00:00,00:00:30:00,VAN002822,,,,
Лого ДА,09:47:07:03,ID_PERETZ_NEW_CLAY _REKL_5_STF,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0049_STF,_STF,,,
Лого ДА,09:47:12:03,Nivea Men  Sensitive Shaving,00:00:20:00,00:00:00:00,00:00:20:00,496210,,,КР,
Лого ДА,09:47:32:03,Ламизил Уно  Жена NR15LM0293,00:00:15:00,00:00:00:00,00:00:15:00,493929,,,КР,
Лого ДА,09:47:47:03,J7  J7 Фрукты,00:00:15:00,00:00:00:00,00:00:15:00,501325,,,КР,
Лого ДА,09:48:02:03,Роллтон Вермишель БП,00:00:15:00,00:00:00:00,00:00:15:00,502464,,,КР,
Лого ДА,09:48:17:03,Вольтарен Эмульгель  Танец NR14VT1038,00:00:20:00,00:00:00:00,00:00:20:00,484118,,,КР,
Лого ДА,09:48:37:03,Чудо  Музей 2 титр1/00:00:01:00/00:00:01:00/PCDA0415.tga,00:00:30:00,00:00:00:00,00:00:30:00,494595,"GR023
00:00:01:00/00:00:01:00",,КР,
Лого ДА,09:49:07:03,Экзодерил  1 Космонавт,00:00:20:00,00:00:00:00,00:00:20:00,498476,,,КР,
Лого ДА,09:49:27:03,ID_PERETZ_NEW_CET_ZAKR_ENF,00:00:01:00,00:00:00:00,00:00:01:00,PGR_0013_ENF,_ENF,,,
Лого ДА,09:49:28:03,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:03:46:00/00:00:08:00/KITS_S17.tga,00:07:17:20,00:48:46:16,00:56:04:11,PR_121038880,"GR024
00:00:00:00/00:00:08:00
00:03:46:00/00:00:08:00",0+,,"00:00:08:00/00:03:38:00
00:03:54:00/00:03:23:20"
Лого ДА,09:56:45:23,АнтиБум19+Бум2.20.3+Бум23.Оркестр.Съем.16мая_Сег_20,00:00:20:00,00:00:00:00,00:00:20:00,VAN002905,,,,
Лого ДА,09:57:05:23,Светофор.с18мая_ПнЧт22_10,00:00:10:00,00:00:00:00,00:00:10:00,VAN002999,,,,
Лого ДА,09:57:15:23,ID_PERETZ_NEW_METAL_REKL_5_STF,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0051_STF,_STF,,,
Лого ДА,09:57:20:23,Ламизил Уно  Жена NR15LM0292,00:00:25:00,00:00:00:00,00:00:25:00,493927,,,КР,
Лого ДА,09:57:45:23,Эльдорадо 2015  5m 20 week Tricolor,00:00:15:00,00:00:00:00,00:00:15:00,503054,,,КР,
Лого ДА,09:58:00:23,J7  J7 Фрукты,00:00:15:00,00:00:00:00,00:00:15:00,501325,,,КР,
Лого ДА,09:58:15:23,Nivea Face Care  Double Effect,00:00:15:00,00:00:00:00,00:00:15:00,500136,,,КР,
Лого ДА,09:58:30:23,Роллтон Вермишель БП,00:00:15:00,00:00:00:00,00:00:15:00,502464,,,КР,
Лого ДА,09:58:45:23,"Тойота РАВ4,Тойота Камри,Тойота Королла  Тактическая кампания май 2015 титр1/00:00:01:00/00:00:01:00/PCDA0415.tga",00:00:20:00,00:00:00:00,00:00:20:00,503328,"GR025
00:00:01:00/00:00:01:00",,КР,
Лого ДА,09:59:05:23,Bayer 2015  Бепантен Плюс 10,00:00:10:00,00:00:00:00,00:00:10:00,494981,,,КР,
Лого ДА,09:59:15:23,Фруктовый сад  Там и здесь/ананас,00:00:20:00,00:00:00:00,00:00:20:00,500033,,,КР,
Лого ДА,09:59:35:23,ID_PERETZ_NEW_CET_ZAKR_ENF,00:00:01:00,00:00:00:00,00:00:01:00,PGR_0013_ENF,_ENF,,,
